gene_id,variance,mean_expr,n_samples
FBgn0036951,0.38607495776704165,1.0438292714731348,41
FBgn0085265,0.3858277781684144,2.5024192841351587,41
FBgn0033301,0.3855967636307628,4.941632013744755,41
FBgn0012034,0.38363621286628485,9.37206317206729,41
FBgn0031317,0.38231314160604823,4.364515664179987,41
FBgn0034429,0.3815768084121054,1.488862560719652,41
FBgn0029765,0.3810296823877519,5.7439705057085,41
FBgn0085195,0.3808524723569695,8.541396162643577,41
FBgn0028514,0.37918111306548696,1.3054482254891109,41
FBgn0038236,0.3769510175251242,6.861060774364155,41
FBgn0016694,0.37643316669568916,7.922973643638238,41
FBgn0010052,0.37538219275668255,2.5520132350352775,41
FBgn0035734,0.3748015322197159,5.295149424222607,41
FBgn0034331,0.37473798686033005,8.558606720048948,41
FBgn0264775,0.3747312467261719,2.420572569529549,41
FBgn0033271,0.3735515290363572,6.56920893317786,41
FBgn0030981,0.3730004874229912,3.8733534866452186,41
FBgn0053965,0.3729713758275272,2.877330741539568,41
FBgn0259711,0.37267897166555686,3.8548594147305835,41
FBgn0031973,0.3718467911185971,4.962299588007823,41
FBgn0031942,0.371622157362684,2.626637545933506,41
FBgn0033788,0.3715879325297795,7.943671479546532,41
FBgn0029823,0.3708729616010705,7.4405055214054245,41
FBgn0085520,0.37057356825014404,3.844670070269627,41
FBgn0040729,0.37006743393887825,3.074458140961379,41
FBgn0283480,0.3683241218605169,6.7345553843728805,41
FBgn0037974,0.3678800874922773,6.063412762245097,41
FBgn0083972,0.3664136793345345,3.8304687359156344,41
FBgn0061356,0.3658192660273899,5.883279475949223,41
FBgn0265186,0.363738748347361,3.882715441310805,41
FBgn0039817,0.3636263029608454,4.361686755409068,41
FBgn0034294,0.3625065696149508,3.1099786295163647,41
FBgn0035076,0.36195092093118386,5.55473698543909,41
FBgn0032282,0.3618482731449702,3.126751300250958,41
FBgn0039203,0.36153765581004327,6.887088079787601,41
FBgn0264987,0.36048948025329974,1.3959960398607953,41
FBgn0037870,0.36045430245617976,2.268788894030085,41
FBgn0261632,0.360110580649026,1.2911609446555734,41
FBgn0013680,0.3574156155487703,6.191584301653439,41
FBgn0053533,0.35730389667008283,5.6527414082501695,41
FBgn0037387,0.35445981159754114,8.260485987915514,41
FBgn0032382,0.3544108638378375,7.306079638644452,41
FBgn0003961,0.35346749557415813,7.441612812011798,41
FBgn0029766,0.3534534574313269,7.184497393435003,41
FBgn0004414,0.3531302971664063,8.122035331473828,41
FBgn0036449,0.35252976599264063,6.571191528204288,41
FBgn0036780,0.3522296770015384,2.9029098004030116,41
FBgn0038973,0.3517838516110504,6.285298633332124,41
FBgn0031412,0.3501480952457305,1.4730923009939423,41
FBgn0035968,0.34794213045115563,5.767893695354154,41
FBgn0033978,0.3465081982103041,6.3663048970658975,41
FBgn0259817,0.34390487506300843,0.7202318735840192,41
FBgn0030331,0.342547122925873,2.897758606988189,41
FBgn0066365,0.34235195000626206,1.6133378151804685,41
FBgn0054026,0.34074521025041254,5.681559155835513,41
FBgn0259682,0.3402261034748252,7.075622633623689,41
FBgn0033246,0.3397674634695079,9.404664673802317,41
FBgn0031940,0.33865751652309367,2.7614452362695747,41
FBgn0034480,0.33812504343070376,5.994909186870676,41
FBgn0267607,0.3374038808142923,1.4120966761497178,41
FBgn0034276,0.33648346598286294,4.187280421896808,41
FBgn0034117,0.3347450206468839,6.316382530348425,41
FBgn0035673,0.3336800664810555,5.625148731758424,41
FBgn0034885,0.33351064918582524,7.733890395891887,41
FBgn0043471,0.33287639712602746,5.522683128854345,41
FBgn0029831,0.3318303581242207,6.399950781908768,41
FBgn0001114,0.33177435097987307,8.047772681007316,41
FBgn0031461,0.33164286845795515,5.049335790734197,41
FBgn0063493,0.33126488868658377,5.352092384569718,41
FBgn0033203,0.3301224353101921,2.1000715527836364,41
FBgn0030993,0.32999595798151715,4.85933810390083,41
FBgn0053503,0.3298738857094897,6.1672824764208745,41
FBgn0034784,0.3296451303383949,0.915733952749582,41
FBgn0039323,0.3293729070173401,3.021953727191083,41
FBgn0040775,0.3291227531183964,4.966633615040204,41
FBgn0020509,0.32836508648710183,8.11114419905121,41
FBgn0050489,0.3279097501343758,6.407974007755071,41
FBgn0036833,0.3273697435551517,5.627788636313236,41
FBgn0052072,0.32715139801966076,5.543450129473997,41
FBgn0034010,0.3263913739450267,2.4407924762230353,41
FBgn0030928,0.3260306089158704,2.1163544197171222,41
FBgn0036619,0.3260096823971363,2.4022474126319584,41
FBgn0038463,0.32518810061959424,5.610770557441468,41
FBgn0039313,0.32494923235810136,8.258823794462678,41
FBgn0038790,0.32432020733233713,6.58897072002776,41
FBgn0020908,0.32321516265103295,9.305453467895346,41
FBgn0028534,0.3228100437957653,7.621136568953436,41
FBgn0052054,0.3224379104150271,3.707248768550551,41
FBgn0038172,0.3214578737888748,5.648853888441366,41
FBgn0027657,0.32044735632600274,7.3346577022438595,41
FBgn0036208,0.3202353649605122,3.9485383695602634,41
FBgn0263199,0.31991084879006143,7.760276364253835,41
FBgn0002719,0.3195609352000025,9.949085496684601,41
FBgn0015586,0.31947474456437774,7.8945233954533744,41
FBgn0020513,0.31943458175716993,8.429690004128933,41
FBgn0033820,0.3188880391239871,9.945366273080817,41
FBgn0035929,0.3188086244001736,3.2608291732020045,41
FBgn0016075,0.31847912359234554,6.05173007462029,41
FBgn0261805,0.3178188183474627,2.0980427577031273,41
FBgn0034761,0.3166242457556687,5.482378338538406,41
FBgn0035679,0.3165604642773035,6.056053386585233,41
FBgn0038135,0.3163194312239275,5.028477836802382,41
FBgn0030607,0.31602443138813463,4.878501475683636,41
FBgn0031860,0.31566747931719924,5.282190897464155,41
FBgn0039319,0.3152538888689774,4.118591725441819,41
FBgn0030001,0.3143003878377268,1.465392382241903,41
FBgn0033453,0.31352478782014775,4.211586473931271,41
FBgn0013683,0.31174062843987993,3.5733899156560556,41
